"file","spp_name","file_binomial","aou","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","climate_vol","phylo_name","WJSpecID","Scientific","PatchClade","Hackett_FineClades","Hackett_CoarseClades","English","FileName","2010 IUCN Red List category","Taxo","BLFamilyLatin","BLFamilyEnglish","FamSequID","IOCOrder","PassNonPass","OscSubOsc"
"Corvus_brachyrhynchos_22705990.shp","Corvus_brachyrhynchos","Corvus brachyrhynchos",4880,"American Crow","Corvidae","Corvus","brachyrhynchos","Corvus brachyrhynchos",NA,NA,"Corvus_brachyrhynchos","amecro",1.56796752154847,"Corvus_brachyrhynchos",8093,"Corvus brachyrhynchos","CC8","Shrikes, Monarchs, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","American Crow","bow08093","LC","BL3","Corvidae","Crows and jays",147,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Corvus_ossifragus_22705993.shp","Corvus_ossifragus","Corvus ossifragus",4900,"Fish Crow","Corvidae","Corvus","ossifragus","Corvus ossifragus",NA,NA,"Corvus_ossifragus","fiscro",0.245113085762428,"Corvus_ossifragus",8094,"Corvus ossifragus","CC8","Shrikes, Monarchs, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Cuckoo-Shrikes, Helmetshrikes, Shrike-Flycatchers, Vangas, Whipbirds, Shrike-Thrushes, Whistlers, Shrikes, Monarchs, Vireos, Orioles, Drongos, Fantails, Birds Of Paradise, Crows, Jays, Allies","Fish Crow","bow08094","LC","BL3","Corvidae","Crows and jays",147,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Tachycineta_bicolor_22712057.shp","Tachycineta_bicolor","Tachycineta bicolor",6140,"Tree Swallow","Hirundinidae","Tachycineta","bicolor","Tachycineta bicolor",NA,NA,"Tachycineta_bicolor","treswa",1.16320504786043,"Tachycineta_bicolor",9992,"Tachycineta bicolor","S6","Swallows, Martins","Swallows, Martins","Tree Swallow","bow09992","LC","BL3","Hirundinidae","Swallows and martins",156,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Tachycineta_thalassina_22712077.shp","Tachycineta_thalassina","Tachycineta thalassina",6150,"Violet-green Swallow","Hirundinidae","Tachycineta","thalassina","Tachycineta thalassina",NA,NA,"Tachycineta_thalassina","vigswa",3.05118107726414,"Tachycineta_thalassina",9999,"Tachycineta thalassina","S6","Swallows, Martins","Swallows, Martins","Violet-green Swallow","bow09999","LC","BL3","Hirundinidae","Swallows and martins",156,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Stelgidopteryx_serripennis_22735128.shp","Stelgidopteryx_serripennis","Stelgidopteryx serripennis",6170,"Northern Rough-winged Swallow","Hirundinidae","Stelgidopteryx","serripennis","Stelgidopteryx serripennis",NA,NA,"Stelgidopteryx_serripennis","nrwswa",2.37693119799965,"Stelgidopteryx_serripennis",10039,"Stelgidopteryx serripennis","S6","Swallows, Martins","Swallows, Martins","Northern Rough-winged Swallow","bow10039","LC","BL3","Hirundinidae","Swallows and martins",156,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Parus_carolinensis_22711708.shp","Parus_carolinensis","Parus carolinensis",7360,"Carolina Chickadee","Paridae","Poecile","carolinensis","Poecile carolinensis","Parus","Parus carolinensis","Parus_carolinensis","carchi",0.249859924966821,"Parus_carolinensis",9879,"Parus carolinensis","S2","Tits, Chickadees, Penduline-Tits, Allies","Tits, Chickadees, Penduline-Tits, Allies","Carolina Chickadee","bow09879","LC","BL3","Paridae","Tits and chickadees",154,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Parus_atricapillus_22711716.shp","Parus_atricapillus","Parus atricapillus",7350,"Black-capped Chickadee","Paridae","Poecile","atricapillus","Poecile atricapillus","Parus","Parus atricapillus","Parus_atricapillus","bkcchi",1.04224357514199,"Parus_atricapillus",9881,"Parus atricapillus","S2","Tits, Chickadees, Penduline-Tits, Allies","Tits, Chickadees, Penduline-Tits, Allies","Black-capped Chickadee","bow09881","LC","BL3","Paridae","Tits and chickadees",154,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Parus_gambeli_22711724.shp","Parus_gambeli","Parus gambeli",7380,"Mountain Chickadee","Paridae","Poecile","gambeli","Poecile gambeli","Parus","Parus gambeli","Parus_gambeli","mouchi",1.3597766101563,"Parus_gambeli",9882,"Parus gambeli","S2","Tits, Chickadees, Penduline-Tits, Allies","Tits, Chickadees, Penduline-Tits, Allies","Mountain Chickadee","bow09882","LC","BL3","Paridae","Tits and chickadees",154,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Parus_rufescens_22711767.shp","Parus_rufescens","Parus rufescens",7410,"Chestnut-backed Chickadee","Paridae","Poecile","rufescens","Poecile rufescens","Parus","Parus rufescens","Parus_rufescens","chbchi",1.90955273456317,"Parus_rufescens",9889,"Parus rufescens","S2","Tits, Chickadees, Penduline-Tits, Allies","Tits, Chickadees, Penduline-Tits, Allies","Chestnut-backed Chickadee","bow09889","LC","BL3","Paridae","Tits and chickadees",154,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Baeolophus_bicolor_22711983.shp","Baeolophus_bicolor","Baeolophus bicolor",7310,"Tufted Titmouse","Paridae","Baeolophus","bicolor","Baeolophus bicolor",NA,NA,"Baeolophus_bicolor","tuftit",0.326361508157226,"Baeolophus_bicolor",9954,"Baeolophus bicolor","S2","Tits, Chickadees, Penduline-Tits, Allies","Tits, Chickadees, Penduline-Tits, Allies","Tufted Titmouse","bow09954","LC","BL3","Paridae","Tits and chickadees",154,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Baeolophus_atricristatus_22711989.shp","Baeolophus_atricristatus","Baeolophus atricristatus",7320,"Black-crested Titmouse","Paridae","Baeolophus","atricristatus","Baeolophus atricristatus",NA,NA,"Baeolophus_atricristatus","blctit4",0.795119031885107,"Baeolophus_atricristatus",9955,"Baeolophus atricristatus","S2","Tits, Chickadees, Penduline-Tits, Allies","Tits, Chickadees, Penduline-Tits, Allies","Black-crested Titmouse","bow09955","LC","BL3","Paridae","Tits and chickadees",154,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Auriparus_flaviceps_22711568.shp","Auriparus_flaviceps","Auriparus flaviceps",7460,"Verdin","Remizidae","Auriparus","flaviceps","Auriparus flaviceps",NA,NA,"Auriparus_flaviceps","verdin",1.26272012461272,"Auriparus_flaviceps",9793,"Auriparus flaviceps","S2","Tits, Chickadees, Penduline-Tits, Allies","Tits, Chickadees, Penduline-Tits, Allies","Verdin","bow09793","LC","BL3","Remizidae","Penduline-tits",155,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Psaltriparus_minimus_22712028.shp","Psaltriparus_minimus","Psaltriparus minimus",7430,"Bushtit","Aegithalidae","Psaltriparus","minimus","Psaltriparus minimus",NA,NA,"Psaltriparus_minimus","bushti",3.12371121538254,"Psaltriparus_minimus",9976,"Psaltriparus minimus","S7S8","Leaf-Warblers, Bush-Warblers, Long-tailed Tits","Leaf-Warblers, Bush-Warblers, Long-tailed Tits","Bushtit","bow09976","LC","BL3","Aegithalidae","Long-tailed Tits",157,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Sitta_canadensis_22711196.shp","Sitta_canadensis","Sitta canadensis",7280,"Red-breasted Nuthatch","Sittidae","Sitta","canadensis","Sitta canadensis",NA,NA,"Sitta_canadensis","rebnut",1.27895009124658,"Sitta_canadensis",9634,"Sitta canadensis","M1","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Red-breasted Nuthatch","bow09634","LC","BL3","Sittidae","Nuthatches and Wallcreeper",173,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Sitta_carolinensis_22711202.shp","Sitta_carolinensis","Sitta carolinensis",7270,"White-breasted Nuthatch","Sittidae","Sitta","carolinensis","Sitta carolinensis",NA,NA,"Sitta_carolinensis","whbnut",1.95009842547892,"Sitta_carolinensis",9636,"Sitta carolinensis","M1","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","White-breasted Nuthatch","bow09636","LC","BL3","Sittidae","Nuthatches and Wallcreeper",173,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Sitta_pusilla_22711173.shp","Sitta_pusilla","Sitta pusilla",7290,"Brown-headed Nuthatch","Sittidae","Sitta","pusilla","Sitta pusilla",NA,NA,"Sitta_pusilla","bnhnut",0.106123613785136,"Sitta_pusilla",9628,"Sitta pusilla","M1","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Brown-headed Nuthatch","bow09628","LC","BL3","Sittidae","Nuthatches and Wallcreeper",173,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Salpinctes_obsoletus_22711332.shp","Salpinctes_obsoletus","Salpinctes obsoletus",7150,"Rock Wren","Troglodytidae","Salpinctes","obsoletus","Salpinctes obsoletus",NA,NA,"Salpinctes_obsoletus","rocwre",2.43875193418708,"Salpinctes_obsoletus",9687,"Salpinctes obsoletus","M1","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Rock Wren","bow09687","LC","BL3","Troglodytidae","Wrens",162,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Troglodytes_hiemalis_22714246.shp","Troglodytes_hiemalis","Troglodytes hiemalis",7222,"Winter Wren","Troglodytidae","Troglodytes","hiemalis","Troglodytes hiemalis",NA,NA,"Troglodytes_hiemalis","winwre3",0.272631986603244,"Troglodytes_troglodytes",9750,"Troglodytes troglodytes","M1","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Winter Wren","bow09750","LC","BL3","Troglodytidae","Wrens",162,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Cistothorus_palustris_22711374.shp","Cistothorus_palustris","Cistothorus palustris",7250,"Marsh Wren","Troglodytidae","Cistothorus","palustris","Cistothorus palustris",NA,NA,"Cistothorus_palustris","marwre",1.09529768320215,"Cistothorus_palustris",9708,"Cistothorus palustris","M1","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Marsh Wren","bow09708","LC","BL3","Troglodytidae","Wrens",162,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Thryothorus_ludovicianus_22711450.shp","Thryothorus_ludovicianus","Thryothorus ludovicianus",7180,"Carolina Wren","Troglodytidae","Thryothorus","ludovicianus","Thryothorus ludovicianus",NA,NA,"Thryothorus_ludovicianus","carwre",0.469575342728183,"Thryothorus_ludovicianus",9735,"Thryothorus ludovicianus","M1","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Carolina Wren","bow09735","LC","BL3","Troglodytidae","Wrens",162,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Thryomanes_bewickii_22711377.shp","Thryomanes_bewickii","Thryomanes bewickii",7190,"Bewick's Wren","Troglodytidae","Thryomanes","bewickii","Thryomanes bewickii",NA,NA,"Thryomanes_bewickii","bewwre",1.80777419029867,"Thryomanes_bewickii",9713,"Thryomanes bewickii","M1","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Bewick's Wren","bow09713","LC","BL3","Troglodytidae","Wrens",162,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Campylorhynchus_brunneicapillus_22711287.shp","Campylorhynchus_brunneicapillus","Campylorhynchus brunneicapillus",7130,"Cactus Wren","Troglodytidae","Campylorhynchus","brunneicapillus","Campylorhynchus brunneicapillus",NA,NA,"Campylorhynchus_brunneicapillus","cacwre",1.4516680258073,"Campylorhynchus_brunneicapillus",9671,"Campylorhynchus brunneicapillus","M1","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Cactus Wren","bow09671","LC","BL3","Troglodytidae","Wrens",162,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Polioptila_caerulea_22711581.shp","Polioptila_caerulea","Polioptila caerulea",7510,"Blue-gray Gnatcatcher","Polioptilidae","Polioptila","caerulea","Polioptila caerulea",NA,NA,"Polioptila_caerulea","buggna",1.96245052679455,"Polioptila_caerulea",9801,"Polioptila caerulea","M1","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Wrens, Gnatcatchers, Nuthatches, Wallcreeper, Treecreepers","Blue-grey Gnatcatcher","bow09801","LC","BL3","Polioptilidae","Gnatcatchers",172,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Regulus_satrapa_22712594.shp","Regulus_satrapa","Regulus satrapa",7480,"Golden-crowned Kinglet","Regulidae","Regulus","satrapa","Regulus satrapa",NA,NA,"Regulus_satrapa","gockin",1.28220870432579,"Regulus_satrapa",10163,"Regulus satrapa","Regulus","Goldcrests, Kinglets","Goldcrests, Kinglets","Golden-crowned Kinglet","bow10163","LC","BL3","Reguliidae","Goldcrests and kinglets",166,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Sialia_sialis_22708550.shp","Sialia_sialis","Sialia sialis",7660,"Eastern Bluebird","Turdidae","Sialia","sialis","Sialia sialis",NA,NA,"Sialia_sialis","easblu",0.940138191610142,"Sialia_sialis",8871,"Sialia sialis","M5","Thrushes","Thrushes, Dippers, Chats, Old World Flycatchers","Eastern Bluebird","bow08871","LC","BL3","Turdidae","Thrushes",178,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Sialia_currucoides_22708556.shp","Sialia_currucoides","Sialia currucoides",7680,"Mountain Bluebird","Turdidae","Sialia","currucoides","Sialia currucoides",NA,NA,"Sialia_currucoides","moublu",0.876762211692033,"Sialia_currucoides",8873,"Sialia currucoides","M5","Thrushes","Thrushes, Dippers, Chats, Old World Flycatchers","Mountain Bluebird","bow08873","LC","BL3","Turdidae","Thrushes",178,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Myadestes_townsendi_22708587.shp","Myadestes_townsendi","Myadestes townsendi",7540,"Townsend's Solitaire","Turdidae","Myadestes","townsendi","Myadestes townsendi",NA,NA,"Myadestes_townsendi","towsol",1.90520954039319,"Myadestes_townsendi",8880,"Myadestes townsendi","M5","Thrushes","Thrushes, Dippers, Chats, Old World Flycatchers","Townsend's Solitaire","bow08880","LC","BL3","Turdidae","Thrushes",178,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Catharus_ustulatus_22708664.shp","Catharus_ustulatus","Catharus ustulatus",7580,"Swainson's Thrush","Turdidae","Catharus","ustulatus","Catharus ustulatus",NA,NA,"Catharus_ustulatus","swathr",0.841920275504825,"Catharus_ustulatus",8906,"Catharus ustulatus","M5","Thrushes","Thrushes, Dippers, Chats, Old World Flycatchers","Swainson's Thrush","bow08906","LC","BL3","Turdidae","Thrushes",178,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Hylocichla_mustelina_22708670.shp","Hylocichla_mustelina","Hylocichla mustelina",7550,"Wood Thrush","Turdidae","Hylocichla","mustelina","Hylocichla mustelina",NA,NA,"Hylocichla_mustelina","woothr",0.466647486660351,"Hylocichla_mustelina",8910,"Hylocichla mustelina","M5","Thrushes","Thrushes, Dippers, Chats, Old World Flycatchers","Wood Thrush","bow08910","LC","BL3","Turdidae","Thrushes",178,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Turdus_migratorius_22708958.shp","Turdus_migratorius","Turdus migratorius",7610,"American Robin","Turdidae","Turdus","migratorius","Turdus migratorius",NA,NA,"Turdus_migratorius","amerob",1.98688040847101,"Turdus_migratorius",9007,"Turdus migratorius","M5","Thrushes","Thrushes, Dippers, Chats, Old World Flycatchers","American Robin","bow09007","LC","BL3","Turdidae","Thrushes",178,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Dumetella_carolinensis_22711013.shp","Dumetella_carolinensis","Dumetella carolinensis",7040,"Gray Catbird","Mimidae","Dumetella","carolinensis","Dumetella carolinensis",NA,NA,"Dumetella_carolinensis","grycat",1.12863653205645,"Dumetella_carolinensis",9557,"Dumetella carolinensis","M4","Mockingbirds, Thrashers, Philippine Creepers, Starlings","Mockingbirds, Thrashers, Philippine Creepers, Starlings","Grey Catbird","bow09557","LC","BL3","Mimidae","Mockingbirds and thrashers",175,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Toxostoma_rufum_22711099.shp","Toxostoma_rufum","Toxostoma rufum",7050,"Brown Thrasher","Mimidae","Toxostoma","rufum","Toxostoma rufum",NA,NA,"Toxostoma_rufum","brnthr",0.710483859888351,"Toxostoma_rufum",9583,"Toxostoma rufum","M4","Mockingbirds, Thrashers, Philippine Creepers, Starlings","Mockingbirds, Thrashers, Philippine Creepers, Starlings","Brown Thrasher","bow09583","LC","BL3","Mimidae","Mockingbirds and thrashers",175,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Oreoscoptes_montanus_22711096.shp","Oreoscoptes_montanus","Oreoscoptes montanus",7020,"Sage Thrasher","Mimidae","Oreoscoptes","montanus","Oreoscoptes montanus",NA,NA,"Oreoscoptes_montanus","sagthr",0.609944377094329,"Oreoscoptes_montanus",9579,"Oreoscoptes montanus","M4","Mockingbirds, Thrashers, Philippine Creepers, Starlings","Mockingbirds, Thrashers, Philippine Creepers, Starlings","Sage Thrasher","bow09579","LC","BL3","Mimidae","Mockingbirds and thrashers",175,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Mimus_polyglottos_22711026.shp","Mimus_polyglottos","Mimus polyglottos",7030,"Northern Mockingbird","Mimidae","Mimus","polyglottos","Mimus polyglottos",NA,NA,"Mimus_polyglottos","normoc",2.25389710161741,"Mimus_polyglottos",9564,"Mimus polyglottos","M4","Mockingbirds, Thrashers, Philippine Creepers, Starlings","Mockingbirds, Thrashers, Philippine Creepers, Starlings","Northern Mockingbird","bow09564","LC","BL3","Mimidae","Mockingbirds and thrashers",175,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Bombycilla_cedrorum_22708153.shp","Bombycilla_cedrorum","Bombycilla cedrorum",6190,"Cedar Waxwing","Bombycillidae","Bombycilla","cedrorum","Bombycilla cedrorum",NA,NA,"Bombycilla_cedrorum","cedwax",0.987321255466881,"Bombycilla_cedrorum",8768,"Bombycilla cedrorum","M2","Waxwings, Allies","Waxwings, Allies","Cedar Waxwing","bow08768","LC","BL3","Bombycillidae","Waxwings",152,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Carpodacus_mexicanus_22720563.shp","Carpodacus_mexicanus","Carpodacus mexicanus",5190,"House Finch","Fringillidae","Haemorhous","mexicanus","Haemorhous mexicanus","Carpodacus","Carpodacus mexicanus","Carpodacus_mexicanus","houfin",2.4170801622802,"Carpodacus_mexicanus",12369,"Carpodacus mexicanus","P10","Finches, Allies","Finches, Allies","House Finch","bow12369","LC","BL3","Fringillidae","Finches and Hawaiian honeycreepers",188,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Carpodacus_purpureus_22720553.shp","Carpodacus_purpureus","Carpodacus purpureus",5170,"Purple Finch","Fringillidae","Haemorhous","purpureus","Haemorhous purpureus","Carpodacus","Carpodacus purpureus","Carpodacus_purpureus","purfin",0.817898502712286,"Carpodacus_purpureus",12367,"Carpodacus purpureus","P10","Finches, Allies","Finches, Allies","Purple Finch","bow12367","LC","BL3","Fringillidae","Finches and Hawaiian honeycreepers",188,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Carpodacus_cassinii_22720560.shp","Carpodacus_cassinii","Carpodacus cassinii",5180,"Cassin's Finch","Fringillidae","Haemorhous","cassinii","Haemorhous cassinii","Carpodacus","Carpodacus cassinii","Carpodacus_cassinii","casfin",0.68809931824266,"Carpodacus_cassinii",12368,"Carpodacus cassinii","P10","Finches, Allies","Finches, Allies","Cassin's Finch","bow12368","NT","BL3","Fringillidae","Finches and Hawaiian honeycreepers",188,"PASSERIFORMES","PASSERIFORMES","Passeri"
"Carduelis_pinus_22720359.shp","Carduelis_pinus","Carduelis pinus",5330,"Pine Siskin","Fringillidae","Spinus","pinus","Spinus pinus","Carduelis","Carduelis pinus","Carduelis_pinus","pinsis",1.69515853245487,"Carduelis_pinus",12318,"Carduelis pinus","P10","Finches, Allies","Finches, Allies","Pine Siskin","bow12318","LC","BL3","Fringillidae","Finches and Hawaiian honeycreepers",188,"PASSERIFORMES","PASSERIFORMES","Passeri"
