"","aou","max_lat_t1","max_lon_t1","min_lat_t1","min_lon_t1","total_cells_t1","area_t1","outlier_t1","outlier_denom_t1","max_lat_t2","max_lon_t2","min_lat_t2","min_lon_t2","total_cells_t2","area_t2","outlier_t2","outlier_denom_t2","file","spp_name","file_binomial","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","overlap","overlap_cells","delta_area","delta_occ"
"1",4050,49,-71,27,-124,117,2281609801604.42,0.00128769874572754,4677325227580.83,NA,NA,NA,NA,NA,NA,NA,NA,"Hylatomus_pileatus_22681363.shp","Hylatomus_pileatus","Hylatomus pileatus","Pileated Woodpecker","Picidae","Dryocopus","pileatus","Dryocopus pileatus","Hylatomus","Hylatomus pileatus","Hylatomus_pileatus",NA,0.789305771553097,226,NA,NA
"2",4230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chaetura_pelagica_22686709.shp","Chaetura_pelagica","Chaetura pelagica","Chimney Swift","Apodidae","Chaetura","pelagica","Chaetura pelagica",NA,NA,"Chaetura_pelagica",NA,0.515667597478663,599,NA,NA
"3",4650,43,-75,30,-100,79,1649253383472.37,0.00427129864692688,3006134676437.75,NA,NA,NA,NA,NA,NA,NA,NA,"Empidonax_virescens_22699842.shp","Empidonax_virescens","Empidonax virescens","Acadian Flycatcher","Tyrannidae","Empidonax","virescens","Empidonax virescens",NA,NA,"Empidonax_virescens",NA,0.614964133126547,429,NA,NA
"4",4770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyanocitta_cristata_22705611.shp","Cyanocitta_cristata","Cyanocitta cristata","Blue Jay","Corvidae","Cyanocitta","cristata","Cyanocitta cristata",NA,NA,"Cyanocitta_cristata",NA,0.894675072136462,614,NA,NA
"5",5110,53,-62,27,-113,317,14739700833952.1,16253076939866.7,74751037014457.8,NA,NA,NA,NA,NA,NA,NA,NA,"Quiscalus_quiscula_22724320.shp","Quiscalus_quiscula","Quiscalus quiscula","Common Grackle","Icteridae","Quiscalus","quiscula","Quiscalus quiscula",NA,NA,"Quiscalus_quiscula","comgra",0.84865579919672,770,NA,NA
"6",5600,53,-62,30,-124,245,24922582925829.4,27877292762182.1,138132509128175,NA,NA,NA,NA,NA,NA,NA,NA,"Spizella_passerina_22721162.shp","Spizella_passerina","Spizella passerina","Chipping Sparrow","Emberizidae","Spizella","passerina","Spizella passerina",NA,NA,"Spizella_passerina","chispa",0.65400878354677,1599,NA,NA
"7",5870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pipilo_erythrophthalmus_22721310.shp","Pipilo_erythrophthalmus","Pipilo erythrophthalmus","Eastern Towhee","Emberizidae","Pipilo","erythrophthalmus","Pipilo erythrophthalmus",NA,NA,"Pipilo_erythrophthalmus","eastow",0.991530882151112,451,NA,NA
"8",6040,NA,NA,NA,NA,NA,NA,NA,NA,45,-83,26,-104,130,2240996646814.07,93452024384.1404,3555716889083.87,"Spiza_americana_22723796.shp","Spiza_americana","Spiza americana","Dickcissel","Cardinalidae","Spiza","americana","Spiza americana",NA,NA,"Spiza_americana","dickci",0.633483738280696,451,NA,NA
"9",6810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Geothlypis_trichas_22721836.shp","Geothlypis_trichas","Geothlypis trichas","Common Yellowthroat","Parulidae","Geothlypis","trichas","Geothlypis trichas",NA,NA,"Geothlypis_trichas","comyel",0.656809912805208,743,NA,NA
"10",6830,47,-75,30,-124,128,3810409326881.59,0.000914812088012695,5603212778390.37,NA,NA,NA,NA,NA,NA,NA,NA,"Icteria_virens_22722057.shp","Icteria_virens","Icteria virens","Yellow-breasted Chat","Parulidae","Icteria","virens","Icteria virens",NA,NA,"Icteria_virens","yebcha",0.735308274917353,531,NA,NA
