file,spp_name,binomial,species_id,aou,english_common_name,french_common_name,spanish_common_name,sporder,family,genus,species,old_genus
NA,NA,Streptopelia chinensis,141,3151,Spotted Dove,Tourterelle tigrine,Streptopelia chinensis,Columbiformes,Columbidae,Streptopelia,chinensis,NA
NA,NA,Picoides scalaris,741,3960,Ladder-backed Woodpecker,Pic arlequin,Picoides scalaris,Piciformes,Picidae,Picoides,scalaris,Dryobates
NA,NA,Picoides nuttallii,742,3970,Nuttall's Woodpecker,Pic de Nuttall,Picoides nuttallii,Piciformes,Picidae,Picoides,nuttallii,Dryobates
NA,NA,Picoides pubescens,743,3940,Downy Woodpecker,Pic mineur,Picoides pubescens,Piciformes,Picidae,Picoides,pubescens,Dryobates
NA,NA,Picoides villosus,745,3930,Hairy Woodpecker,Pic chevelu,Picoides villosus,Piciformes,Picidae,Picoides,villosus,Leuconotopicus
NA,NA,Picoides arizonae,746,3975,Arizona Woodpecker,Pic d'Arizona,Picoides arizonae,Piciformes,Picidae,Picoides,arizonae,Leuconotopicus
NA,NA,Picoides borealis,748,3950,Red-cockaded Woodpecker,Pic à face blanche,Picoides borealis,Piciformes,Picidae,Picoides,borealis,Leuconotopicus
NA,NA,Picoides albolarvatus,749,3990,White-headed Woodpecker,Pic à tête blanche,Picoides albolarvatus,Piciformes,Picidae,Picoides,albolarvatus,Leuconotopicus
NA,NA,Picoides dorsalis,750,4010,American Three-toed Woodpecker,Pic à dos rayé,Picoides dorsalis,Piciformes,Picidae,Picoides,dorsalis,NA
NA,NA,Dryocopus pileatus,761,4050,Pileated Woodpecker,Grand Pic,Dryocopus pileatus,Piciformes,Picidae,Dryocopus,pileatus,Hylatomus
NA,NA,Aphelocoma woodhouseii,989,4813,Woodhouse's Scrub-Jay,Geai de Woodhouse,Aphelocoma woodhouseii,Passeriformes,Corvidae,Aphelocoma,woodhouseii,NA
NA,NA,Pica hudsonia,995,4750,Black-billed Magpie,Pie d'Amérique,Pica hudsonia,Passeriformes,Corvidae,Pica,hudsonia,NA
NA,NA,Poecile carolinensis,1030,7360,Carolina Chickadee,Mésange de Caroline,Poecile carolinensis,Passeriformes,Paridae,Poecile,carolinensis,Parus
NA,NA,Poecile atricapillus,1031,7350,Black-capped Chickadee,Mésange à tête noire,Poecile atricapillus,Passeriformes,Paridae,Poecile,atricapillus,Parus
NA,NA,Poecile gambeli,1032,7380,Mountain Chickadee,Mésange de Gambel,Poecile gambeli,Passeriformes,Paridae,Poecile,gambeli,Parus
NA,NA,Poecile sclateri,1033,7370,Mexican Chickadee,Mésange grise,Poecile sclateri,Passeriformes,Paridae,Poecile,sclateri,Parus
NA,NA,Poecile rufescens,1034,7410,Chestnut-backed Chickadee,Mésange à dos marron,Poecile rufescens,Passeriformes,Paridae,Poecile,rufescens,Parus
NA,NA,Poecile hudsonicus,1035,7400,Boreal Chickadee,Mésange à tête brune,Poecile hudsonicus,Passeriformes,Paridae,Poecile,hudsonicus,Parus
NA,NA,Thryophilus sinaloa,1082,16600,Sinaloa Wren,Troglodyte du Sinaloa,Thryophilus sinaloa,Passeriformes,Troglodytidae,Thryophilus,sinaloa,Thryothorus
NA,NA,Ixoreus naevius,1160,7630,Varied Thrush,Grive à collier,Ixoreus naevius,Passeriformes,Turdidae,Ixoreus,naevius,NA
NA,NA,Motacilla tschutschensis,1197,6960,Eastern Yellow Wagtail,Bergeronnette de Béringie,Motacilla tschutschensis,Passeriformes,Motacillidae,Motacilla,tschutschensis,NA
NA,NA,Haemorhous mexicanus,1222,5190,House Finch,Roselin familier,Haemorhous mexicanus,Passeriformes,Fringillidae,Haemorhous,mexicanus,Carpodacus
