"tree","hab_k","clim_k","diet_k","hab_lambda","clim_lambda","diet_lambda"
"tree_6755",0.19897166339225,0.16699595747844,0.185937455433114,6.70280066606001e-05,0.488458497936028,0.549134810482709
"tree_1072",0.177242090378801,0.179954824507877,0.173472257484416,6.17549725486023e-05,0.479318318025749,0.527290727028939
"tree_1963",0.199475525985483,0.172721178942845,0.17366565996241,6.70138727060608e-05,0.471223886829974,0.526048302661206
"tree_7681",0.253940567965152,0.219994015416652,0.216831094341497,6.72368215059266e-05,0.450236789322259,0.517600649248071
"tree_9679",0.207844470626954,0.14602139788782,0.188454902862327,6.67143660115706e-05,0.470851744557053,0.53546287857081
"tree_1106",0.194304159492252,0.161220296530032,0.177086533526277,7.95517617867292e-05,0.470571708728085,0.529161402229656
"tree_7123",0.231886992842,0.200751416420353,0.235721732129436,6.69412974684464e-05,0.471180734287672,0.5308423412356
"tree_6677",0.186626189930435,0.170649160165889,0.18723900915062,6.65422192872475e-05,0.461505602122036,0.534915358404945
"tree_9469",0.18631439410118,0.141870351404104,0.166297600883792,6.68927256138388e-05,0.483648392521902,0.535340987798886
"tree_4564",0.231015341968762,0.204565837520701,0.208880978920902,6.72113981746657e-05,0.483326466507811,0.550746782594936
"tree_3714",0.233703892955334,0.176779447178599,0.216579692723526,6.69983155327798e-05,0.460195244307267,0.536432347028054
"tree_4024",0.193778736151097,0.148995828058564,0.138488600296869,6.66002796522029e-05,0.459848475051155,0.534856097530713
"tree_7513",0.234573495896064,0.169753457010659,0.191602759066121,6.71889093776252e-05,0.461509171372227,0.535465005235339
"tree_6694",0.265946919482241,0.223131687386608,0.234972540048421,6.76508639392932e-05,0.454761382069644,0.536675857188271
"tree_6635",0.245821368557296,0.185651959117658,0.243297466368786,6.73592735979029e-05,0.469019733359643,0.555377371000477
"tree_2050",0.251380506652356,0.213021725875503,0.232772538629768,6.72559034916484e-05,0.445100482437265,0.522922251521048
"tree_9826",0.211683255219188,0.186622369099749,0.180609865415237,6.69887111208423e-05,0.503820082049794,0.526269211862335
"tree_7516",0.242373640287498,0.192603124636094,0.221381406661923,6.71644290114189e-05,0.447712350628829,0.521304077561973
"tree_9345",0.20998569227172,0.188926482216154,0.174004614768104,6.71367016120786e-05,0.485783302774148,0.520699032603107
"tree_4462",0.147250927094528,0.209944076102698,0.209308087454345,6.62860965220795e-05,0.43860766145004,0.528204946623433
"tree_2557",0.248594613484209,0.24780657632815,0.257090087583357,6.71758480296403e-05,0.471058580792164,0.545632942544973
"tree_3607",0.19439521413547,0.165616835604899,0.167489979978911,6.6943835900617e-05,0.510956192622984,0.54403275331076
"tree_0183",0.257444691829831,0.180250399029786,0.214052319295481,6.72842405860766e-05,0.441070645266084,0.527190245302799
"tree_8151",0.226941672909184,0.182696939804979,0.214665040235445,6.69797435607103e-05,0.468954150609633,0.553484078988209
"tree_4933",0.19941429254841,0.186265349921518,0.205742665282309,6.67445655438001e-05,0.438973239909605,0.530773747757646
"tree_0867",0.230247567108031,0.197221138495343,0.20213296660184,6.71154625248996e-05,0.453143472457762,0.516055577850677
"tree_5032",0.257401650511918,0.193817498366411,0.205729967937476,6.84281784564949e-05,0.457449656549302,0.528049811840605
"tree_8428",0.245688268671817,0.201995125089337,0.251117266841041,6.7229581186739e-05,0.430176002089243,0.552860189223897
"tree_4978",0.236745869464178,0.188466237907844,0.224872696423547,6.74058384738546e-05,0.458790155584569,0.526716528245123
"tree_6642",0.210623986509776,0.167886435523836,0.195143750002053,6.72143539858403e-05,0.484468300874031,0.547720414877898
"tree_0325",0.2683071024718,0.205622042040891,0.246954904814071,6.74897371460495e-05,0.454425792890739,0.532862993393433
"tree_3576",0.202028949842934,0.172774589331767,0.216716101738289,6.67366090588841e-05,0.451863810478342,0.52579622351495
"tree_5245",0.213147155630013,0.21480475841903,0.232619671405278,6.65627338028515e-05,0.458066716765299,0.520393335035959
"tree_5357",0.254173736984034,0.180140113551182,0.207908775483207,8.10054162144964e-05,0.412699482806186,0.515122975212116
"tree_4509",0.213811101333125,0.1614624693893,0.19064304283843,6.71684593131036e-05,0.456402749205695,0.540045910619535
"tree_2781",0.228851457391861,0.173276600985744,0.197223422962603,6.7093521272786e-05,0.447229361462117,0.520357270745939
"tree_8435",0.240633796754525,0.201167853843459,0.209070874945539,6.70962422950697e-05,0.464931349657539,0.526908433490595
"tree_6124",0.240929243510764,0.16922715003092,0.218948240527574,6.71338742665451e-05,0.468292172489638,0.553514149414186
"tree_1909",0.19986601563922,0.149296839060669,0.229184700251667,6.65811322243393e-05,0.435382116438637,0.535514486687284
"tree_3769",0.181383116945734,0.172567834788794,0.198282617244036,6.66069295868538e-05,0.480590722199606,0.550255590938812
"tree_2880",0.266468640978976,0.223581592177037,0.238949875078493,6.76023195480961e-05,0.452236183400899,0.530972110149313
"tree_6585",0.227394436013566,0.180639853052228,0.208572246090301,6.73080075417159e-05,0.457856785614682,0.531095558408688
"tree_0951",0.220838519388186,0.183703162148218,0.220883984676485,6.69040841362682e-05,0.454240757292883,0.531759408780337
"tree_4790",0.273076419571839,0.204965480781402,0.224622958954411,6.73022171481597e-05,0.414538988971746,0.508210446300427
"tree_3615",0.275940225781269,0.167288572625303,0.228033341738485,6.70623058873668e-05,0.413442886405206,0.527517493113444
"tree_0794",0.261405061097088,0.238587274112095,0.274795118683979,6.71719215707861e-05,0.437746312788844,0.537204792356379
"tree_1201",0.17877370203848,0.137966399136384,0.13867044906029,6.66648668223554e-05,0.515378936394252,0.514664821824464
"tree_5214",0.164734654712901,0.18031281851804,0.199222990921499,6.6383343758771e-05,0.445881294143386,0.513260838035408
"tree_8390",0.164390961537273,0.136864641389608,0.169348307593185,6.67905482667197e-05,0.53191856352669,0.576938935686736
"tree_2091",0.231354562351704,0.196390925785882,0.203775830329682,6.71172376736829e-05,0.454704559206218,0.53522435594123
"tree_2287",0.243631238203794,0.189538127486851,0.214845580327224,6.69417268097964e-05,0.425971785345133,0.537791135388875
"tree_2285",0.211829041833242,0.154373600357129,0.147469007206324,6.67425166981366e-05,0.455891396190956,0.492073088686343
"tree_7284",0.294001040302662,0.249238680396231,0.250433973273642,0.0365842247798624,0.414004666462992,0.491726771950628
