"aou","max_lat_t1","max_lon_t1","min_lat_t1","min_lon_t1","total_cells_t1","area_t1","outlier_t1","outlier_denom_t1","max_lat_t2","max_lon_t2","min_lat_t2","min_lon_t2","total_cells_t2","area_t2","outlier_t2","outlier_denom_t2","file","spp_name","file_binomial","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","overlap","overlap_cells","delta_area","delta_occ"
2890,44,-70,26,-104,209,2546486239250.12,13704508563.8528,3760142398739.47,43,-76,26,-104,135,2263680121914.42,0.00530484318733215,3746437890191.28,"Colinus_virginianus_22728956.shp","Colinus_virginianus","Colinus virginianus","Northern Bobwhite","Odontophoridae","Colinus","virginianus","Colinus virginianus",NA,NA,"Colinus_virginianus",NA,0.858395838306132,220,-0.111057390759347,-0.336363636363636
3160,53,-69,26,-124,347,21106806251104,21383402458455.2,95288717317831.6,53,-62,26,-124,366,21192933624360.2,21621626974659.9,95831136112355.1,"Zenaida_macroura_22690736.shp","Zenaida_macroura","Zenaida macroura","Mourning Dove","Columbidae","Zenaida","macroura","Zenaida macroura",NA,NA,"Zenaida_macroura",NA,0.753224829253319,1014,0.0040805497635017,0.0187376725838264
3940,53,-62,27,-124,233,5037526723327.54,5237811372506.88,23540631429015.3,54,-64,27,-124,228,8375775667833.47,8697482642604.55,45145398108440.1,"Dryobates_pubescens_22681155.shp","Dryobates_pubescens","Dryobates pubescens","Downy Woodpecker","Picidae","Picoides","pubescens","Picoides pubescens","Dryobates","Dryobates pubescens","Dryobates_pubescens",NA,0.699294442217263,678,0.662676175800186,-0.00737463126843658
4050,49,-71,27,-124,117,2281609801604.42,0.00128769874572754,4677325227580.83,NA,NA,NA,NA,NA,NA,NA,NA,"Hylatomus_pileatus_22681363.shp","Hylatomus_pileatus","Hylatomus pileatus","Pileated Woodpecker","Picidae","Dryocopus","pileatus","Dryocopus pileatus","Hylatomus","Hylatomus pileatus","Hylatomus_pileatus",NA,0.789305771553097,226,NA,NA
4090,45,-74,27,-100,171,2282634046343.68,76040696731.2599,3120767596420.15,47,-70,27,-100,219,5295843647371.48,211989447677.365,6301443229854.05,"Melanerpes_carolinus_22680856.shp","Melanerpes_carolinus","Melanerpes carolinus","Red-bellied Woodpecker","Picidae","Melanerpes","carolinus","Melanerpes carolinus",NA,NA,"Melanerpes_carolinus",NA,0.990425059365452,211,1.32005811700493,0.227488151658768
4120,52,-62,27,-124,311,81131082163139.7,243041870844733,1414963176747748,53,-62,29,-124,250,55693050427985.9,166108211990124,1009279591564750,"Colaptes_auratus_22726404.shp","Colaptes_auratus","Colaptes auratus","(Yellow-shafted Flicker) Northern Flicker","Picidae","Colaptes","auratus auratus","Colaptes auratus",NA,NA,"Colaptes_auratus",NA,0.622331208489158,402,-0.313542369421408,-0.151741293532338
4230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chaetura_pelagica_22686709.shp","Chaetura_pelagica","Chaetura pelagica","Chimney Swift","Apodidae","Chaetura","pelagica","Chaetura pelagica",NA,NA,"Chaetura_pelagica",NA,0.515667597478663,599,NA,NA
4520,52,-70,27,-101,245,3286180126440.4,138001333240.853,5090761665223.01,50,-69,27,-100,230,3422206711037.26,155167357972.713,5107906717858.39,"Myiarchus_crinitus_22700433.shp","Myiarchus_crinitus","Myiarchus crinitus","Great Crested Flycatcher","Tyrannidae","Myiarchus","crinitus","Myiarchus crinitus",NA,NA,"Myiarchus_crinitus",NA,0.742450315060081,298,0.0413935266367189,-0.0503355704697987
4650,43,-75,30,-100,79,1649253383472.37,0.00427129864692688,3006134676437.75,NA,NA,NA,NA,NA,NA,NA,NA,"Empidonax_virescens_22699842.shp","Empidonax_virescens","Empidonax virescens","Acadian Flycatcher","Tyrannidae","Empidonax","virescens","Empidonax virescens",NA,NA,"Empidonax_virescens",NA,0.614964133126547,429,NA,NA
4770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cyanocitta_cristata_22705611.shp","Cyanocitta_cristata","Cyanocitta cristata","Blue Jay","Corvidae","Cyanocitta","cristata","Cyanocitta cristata",NA,NA,"Cyanocitta_cristata",NA,0.894675072136462,614,NA,NA
