"file","spp_name","file_binomial","aou","english_common_name","family","genus","species","binomial","old_genus","new_binomial","matched_filename","species_code","climate_vol","ssi","shannonE_diet","mean_area","mean_occ","sd_area","sd_occ","Trend","ci95","area_wt","occ_wt","trend_wt","phylo_name"
"Corvus_brachyrhynchos_22705990.shp","Corvus_brachyrhynchos","Corvus brachyrhynchos",4880,"American Crow","Corvidae","Corvus","brachyrhynchos","Corvus brachyrhynchos",NA,NA,"Corvus_brachyrhynchos","amecro",1.56796752154847,-1.00189505973914,0.819382002601611,0.0387789489657863,0.00379566563467492,0.00406058517517918,0.00379801071468611,-0.003,0.214,0.0079587469433512,0.00744410100078478,0.214,"Corvus_brachyrhynchos"
"Corvus_ossifragus_22705993.shp","Corvus_ossifragus","Corvus ossifragus",4900,"Fish Crow","Corvidae","Corvus","ossifragus","Corvus ossifragus",NA,NA,"Corvus_ossifragus","fiscro",0.245113085762428,-1.46960968736456,0.676245626185712,1.09468057297773,0.372800586510264,0.570357613312752,0.0488925192330121,0.466,0.87,1.11790092209299,0.0958293376967036,0.87,"Corvus_ossifragus"
"Tachycineta_bicolor_22712057.shp","Tachycineta_bicolor","Tachycineta bicolor",6140,"Tree Swallow","Hirundinidae","Tachycineta","bicolor","Tachycineta bicolor",NA,NA,"Tachycineta_bicolor","treswa",1.16320504786043,-0.700439682326962,0.141181741504608,-0.0504356359227556,0.0603364694053433,0.21179842240157,0.00407130196695172,-1.306,0.67,0.415124907907077,0.00797975185522537,0.67,"Tachycineta_bicolor"
"Tachycineta_thalassina_22712077.shp","Tachycineta_thalassina","Tachycineta thalassina",6150,"Violet-green Swallow","Hirundinidae","Tachycineta","thalassina","Tachycineta thalassina",NA,NA,"Tachycineta_thalassina","vigswa",3.05118107726414,-1.07175520445371,0,0.667739346974864,0.0067260579064588,0.0248230004093538,0.00160082862949032,-0.882,1.082,0.0486530808023334,0.00313762411380103,1.082,"Tachycineta_thalassina"
"Stelgidopteryx_serripennis_22735128.shp","Stelgidopteryx_serripennis","Stelgidopteryx serripennis",6170,"Northern Rough-winged Swallow","Hirundinidae","Stelgidopteryx","serripennis","Stelgidopteryx serripennis",NA,NA,"Stelgidopteryx_serripennis","nrwswa",2.37693119799965,-0.982650091330195,0,-0.111130524804488,-0.0488603988603989,0.0290541101242444,0.0162379338987492,-0.532,0.635,0.0569460558435191,0.0318263504415485,0.635,"Stelgidopteryx_serripennis"
"Parus_carolinensis_22711708.shp","Parus_carolinensis","Parus carolinensis",7360,"Carolina Chickadee","Paridae","Poecile","carolinensis","Poecile carolinensis","Parus","Parus carolinensis","Parus_carolinensis","carchi",0.249859924966821,-1.29770663839154,0.292285253238629,0.0151382816473783,-0.00241958041958042,0.0221602764222899,0.0190604566217502,-0.524,0.368,0.0434341417876881,0.0373584949786304,0.368,"Parus_carolinensis"
"Parus_atricapillus_22711716.shp","Parus_atricapillus","Parus atricapillus",7350,"Black-capped Chickadee","Paridae","Poecile","atricapillus","Poecile atricapillus","Parus","Parus atricapillus","Parus_atricapillus","bkcchi",1.04224357514199,-1.11365486994166,0.412697251504221,-0.2058716300715,-0.0107889344262295,0.0244760563930954,0.0157477067360738,0.478,0.507,0.047973070530467,0.0308655052027046,0.507,"Parus_atricapillus"
"Parus_gambeli_22711724.shp","Parus_gambeli","Parus gambeli",7380,"Mountain Chickadee","Paridae","Poecile","gambeli","Poecile gambeli","Parus","Parus gambeli","Parus_gambeli","mouchi",1.3597766101563,-1.38546091506536,0.412697251504221,-0.183169884083245,0.0333333333333333,0.000755900113788574,2.31062468577417e-05,-1.622,0.946,0.0014815642230256,4.52882438411736e-05,0.946,"Parus_gambeli"
"Parus_rufescens_22711767.shp","Parus_rufescens","Parus rufescens",7410,"Chestnut-backed Chickadee","Paridae","Poecile","rufescens","Poecile rufescens","Parus","Parus rufescens","Parus_rufescens","chbchi",1.90955273456317,-1.3661333707403,0.412697251504221,-0.062901129311895,0.166666666666667,3.77950056894287e-05,2.31062468577417e-05,-1.376,1.361,7.40782111512802e-05,4.52882438411736e-05,1.361,"Parus_rufescens"
"Baeolophus_bicolor_22711983.shp","Baeolophus_bicolor","Baeolophus bicolor",7310,"Tufted Titmouse","Paridae","Baeolophus","bicolor","Baeolophus bicolor",NA,NA,"Baeolophus_bicolor","tuftit",0.326361508157226,-1.35864607860063,0.292285253238629,0.0991739492839906,0.0811022962761392,0.0353975111372813,0.0149173071563895,0.987,0.35,0.0693791218290714,0.0292379220265235,0.35,"Baeolophus_bicolor"
