"genus","species","english_common_name","aou","binomial","SpecID","PassNonPass","IOCOrder","BLFamilyLatin","BLFamilyEnglish","BLFamSequID","Taxo","English","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.5Cat","Diet.Source","Diet.Certainty","Diet.EnteredBy","ForStrat.watbelowsurf","ForStrat.wataroundsurf","ForStrat.ground","ForStrat.understory","ForStrat.midhigh","ForStrat.canopy","ForStrat.aerial","PelagicSpecialist","ForStrat.Source","ForStrat.SpecLevel","ForStrat.EnteredBy","Nocturnal","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","BodyMass.Comment","Record.Comment","Scientific","migclass","Foraging","Coarse.trophic","Trophic.guild"
"Ortalis","vetula","Plain Chachalaca",3110,"Ortalis vetula",137,"Nonpasseriformes","Galliformes","Cracidae","Guans and curassows",8,"BL3","Plain Chachalaca",0,0,0,0,0,0,60,0,0,40,"FruiNect","Ref_2","A","Jennifer",0,0,0,0,50,50,0,0,"Ref_2",1,"Jessica",0,562.6,"Dunning08",1,"","",NA,NA,NA,NA,"Frugivore: ground to lower canopy gleaner"
"Oreortyx","pictus","Mountain Quail",2920,"Oreortyx pictus",463,"Nonpasseriformes","Galliformes","Odontophoridae","New World quails",10,"BL3","Mountain Quail",0,0,0,0,0,0,20,0,40,40,"PlantSeed","Ref_2","A","Jennifer",0,0,80,20,0,0,0,0,"Ref_2",1,"Other",0,233,"Dunning08",1,"","",NA,"resid","ground glean","granivore","Granivore: ground to undergrowth gleaner"
"Colinus","virginianus","Northern Bobwhite",2890,"Colinus virginianus",469,"Nonpasseriformes","Galliformes","Odontophoridae","New World quails",10,"BL3","Northern Bobwhite",0,0,0,0,0,0,0,0,70,30,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,171.89,"Dunning08",1,"","",NA,"resid","ground glean","herbivore","Granivore: ground to undergrowth gleaner"
"Callipepla","squamata","Scaled Quail",2930,"Callipepla squamata",464,"Nonpasseriformes","Galliformes","Odontophoridae","New World quails",10,"BL3","Scaled Quail",30,0,0,0,0,0,0,0,40,30,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,183.86,"Dunning08",1,"","",NA,"resid","ground glean","granivore","Granivore: ground to undergrowth gleaner"
"Callipepla","californica","California Quail",2940,"Callipepla californica",466,"Nonpasseriformes","Galliformes","Odontophoridae","New World quails",10,"BL3","California Quail",0,0,0,0,0,0,0,0,50,50,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,165.7,"Dunning08",1,"","",NA,"resid","ground glean","granivore","Granivore: ground to undergrowth gleaner"
"Callipepla","gambelii","Gambel's Quail",2950,"Callipepla gambelii",467,"Nonpasseriformes","Galliformes","Odontophoridae","New World quails",10,"BL3","Gambel's Quail",10,0,0,0,0,0,0,0,40,50,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,165.95,"Dunning08",1,"","",NA,"resid","ground glean","granivore","Granivore: ground to undergrowth gleaner"
"Cyrtonyx","montezumae","Montezuma Quail",2960,"Cyrtonyx montezumae",490,"Nonpasseriformes","Galliformes","Odontophoridae","New World quails",10,"BL3","Montezuma Quail",40,0,0,0,0,0,10,0,10,40,"Omnivore","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,185.38,"Dunning08",1,"","",NA,NA,NA,NA,"Granivore: ground to undergrowth gleaner"
"Alectoris","chukar","Chukar",2882,"Alectoris chukar",241,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Chukar",20,0,0,0,0,0,0,0,10,70,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,502.1,"Dunning08",1,"","",NA,"resid","ground glean","granivore",NA
"Perdix","perdix","Gray Partridge",2881,"Perdix perdix",294,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Grey Partridge",30,0,0,0,0,0,0,0,30,40,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,405.3,"Dunning08",1,"","",NA,"resid","ground glean","granivore",NA
"Phasianus","colchicus","Ring-necked Pheasant",3091,"Phasianus colchicus",393,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Common Pheasant",10,0,0,0,0,0,30,0,30,30,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,1120.31,"Dunning08",1,"","",NA,"resid","ground glean","omnivore",NA
"Pavo","cristatus","Indian Peafowl",3095,"Pavo cristatus",413,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Indian Peafowl",30,0,0,0,10,0,0,0,40,20,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,4154.81,"Dunning08",1,"","",NA,NA,NA,NA,NA
"Bonasa","umbellus","Ruffed Grouse",3000,"Bonasa umbellus",434,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Ruffed Grouse",10,0,0,0,0,0,20,0,0,70,"PlantSeed","Ref_2","A","Jennifer",0,0,60,40,0,0,0,0,"Ref_2",1,"Other",0,530.91,"Dunning08",1,"","",NA,"resid","ground glean","omnivore","Herbivores: ground forager"
"Centrocercus","urophasianus","Greater Sage-Grouse",3090,"Centrocercus urophasianus",435,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Greater Sage-grouse",10,0,0,0,0,0,0,0,0,90,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,1902.46,"Dunning08",1,"","",NA,"resid","ground glean","herbivore","Herbivores: ground forager"
"Centrocercus","minimus","Gunnison Sage-Grouse",3089,"Centrocercus minimus",19812,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Gunnison Sage-grouse",10,0,0,0,0,0,0,0,0,90,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,1902.46,"Dunning08",1,"","DataFromSplit",NA,NA,NA,NA,NA
"Lagopus","lagopus","Willow Ptarmigan",3010,"Lagopus lagopus",423,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Willow Ptarmigan",0,0,0,0,0,0,10,0,0,90,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,566.86,"Dunning08",1,"","",NA,"resid","ground glean","herbivore","Herbivores: ground forager"
"Lagopus","muta","Rock Ptarmigan",3020,"Lagopus muta",426,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Rock Ptarmigan",0,0,0,0,0,0,20,0,10,70,"PlantSeed","Ref_2","A","Jennifer",0,0,80,20,0,0,0,0,"Ref_2",1,"Jessica",0,535.3,"Dunning08",1,"","",NA,"short","ground glean","herbivore","Herbivores: ground forager"
"Lagopus","leucura","White-tailed Ptarmigan",3040,"Lagopus leucura",427,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","White-tailed Ptarmigan",0,0,0,0,0,0,0,0,0,100,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,354.97,"Dunning08",1,"","",NA,"resid","ground glean","herbivore","Herbivores: ground forager"
"Dendragapus","obscurus","Dusky Grouse",2970,"Dendragapus obscurus",420,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Dusky Grouse",0,0,0,0,0,0,20,0,0,80,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,1047.31,"Dunning08",1,"","",NA,"resid","ground glean","herbivore","Herbivores: ground forager"
"Dendragapus","fuliginosus","Sooty Grouse",2971,"Dendragapus fuliginosus",19811,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Sooty Grouse",0,0,0,0,0,0,20,0,0,80,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,1047.31,"Dunning08",1,"","DataFromSplit",NA,NA,NA,NA,NA
"Tympanuchus","phasianellus","Sharp-tailed Grouse",3080,"Tympanuchus phasianellus",436,"Nonpasseriformes","Galliformes","Phasianidae","Grouse, pheasants and partridges",11,"BL3","Sharp-tailed Grouse",10,0,0,0,0,0,10,0,10,70,"PlantSeed","Ref_2","A","Jennifer",0,0,100,0,0,0,0,0,"Ref_2",1,"Jessica",0,882.38,"Dunning08",1,"","",NA,"resid","ground glean","herbivore","Granivore: ground to undergrowth gleaner"
